api-1  | INFO:     Will watch for changes in these directories: ['/app']
api-1  | DEBUG:root:Received response from Ollama: {'model': 'granite3.3:8b-largectx', 'created_at': '2025-06-19T05:02:42.22044174Z', 'response': 'MATCH (p:Person) RETURN count(p)', 'done': True, 'done_reason': 'stop', 'context': [49152, 2946, 49153, 39558, 390, 17071, 2821, 44, 30468, 225, 36, 34, 36, 38, 32, 203, 4282, 884, 8080, 278, 659, 30, 18909, 810, 25697, 32, 2448, 884, 312, 17247, 19551, 47330, 32, 0, 203, 49152, 496, 49153, 4282, 884, 600, 30895, 328, 17335, 22350, 36149, 11792, 436, 506, 3724, 271, 1996, 32, 203, 10195, 2899, 438, 372, 4483, 312, 19844, 2898, 7000, 1991, 312, 22350, 36149, 2467, 688, 41633, 706, 645, 312, 3996, 3500, 32, 203, 1318, 3996, 1401, 322, 2412, 5365, 44, 203, 203, 5909, 44, 203, 31, 11038, 44, 804, 30, 636, 30, 4096, 30, 23572, 30, 4203, 30, 3894, 30, 7884, 81, 314, 30, 420, 548, 81, 770, 203, 31, 12641, 44, 804, 30, 636, 30, 23572, 30, 9280, 203, 31, 7051, 44, 804, 30, 636, 30, 827, 30, 3048, 203, 31, 15310, 44, 804, 30, 636, 30, 6215, 30, 3048, 30, 25017, 203, 31, 4578, 44, 804, 30, 7045, 81, 314, 30, 1795, 30, 3826, 30, 6341, 203, 203, 30996, 44, 203, 31, 308, 6005, 7824, 2867, 7239, 81, 2109, 6583, 26, 8237, 27, 203, 31, 308, 6005, 7824, 2867, 7239, 81, 2109, 6583, 26, 1564, 27, 203, 31, 308, 6005, 7824, 2867, 25252, 69, 81, 1407, 6583, 26, 6005, 27, 203, 31, 308, 8237, 7824, 2867, 15812, 567, 2123, 14507, 81, 7321, 6583, 26, 4248, 27, 203, 31, 308, 1564, 7824, 2867, 15812, 567, 2123, 14507, 81, 7321, 6583, 26, 4248, 27, 203, 203, 24817, 44, 203, 35, 32, 225, 2244, 12884, 322, 1256, 1182, 7000, 372, 12411, 322, 1202, 11740, 30, 25041, 30, 461, 4308, 32, 203, 36, 32, 225, 12968, 312, 22350, 36149, 2467, 688, 21726, 12225, 41633, 322, 8843, 2471, 32, 203, 37, 32, 225, 886, 2467, 2298, 526, 312, 358, 47259, 22350, 36149, 7603, 32, 3278, 646, 793, 4609, 15252, 30, 8794, 18658, 2612, 30, 556, 21161, 8130, 32, 203, 38, 32, 225, 10604, 1789, 2298, 4799, 28222, 322, 22350, 36149, 2467, 544, 312, 3982, 1628, 30, 623, 39364, 1289, 1604, 1344, 30, 538, 5623, 993, 30, 8446, 30, 556, 5388, 11792, 32, 203, 39, 32, 225, 25144, 442, 322, 529, 314, 82, 2804, 432, 322, 5166, 328, 322, 1056, 30, 7947, 623, 1346, 1604, 8843, 4308, 32, 203, 40, 32, 225, 2616, 10017, 2625, 18920, 556, 7024, 30, 2329, 442, 322, 529, 18495, 2541, 203, 41, 32, 225, 2744, 312, 7091, 432, 225, 36, 39, 3276, 7351, 5878, 3191, 32, 203, 42, 32, 225, 2616, 2340, 43399, 30, 793, 802, 43399, 4558, 18719, 884, 7107, 619, 19687, 225, 42, 40, 34, 35, 5852, 308, 87, 32, 89, 4317, 4998, 298, 32, 90, 548, 81, 770, 848, 330, 36, 34, 36, 38, 31, 34, 35, 31, 34, 35, 1814, 203, 43, 32, 225, 5076, 14116, 5166, 30, 2329, 442, 3623, 6492, 32, 203, 35, 34, 32, 4261, 34942, 623, 12112, 29038, 44, 284, 429, 11038, 31, 2867, 7239, 81, 2109, 6583, 8237, 33, 1564, 308, 6005, 438, 5809, 432, 12641, 33, 1564, 27, 284, 429, 11038, 31, 2867, 25252, 69, 81, 1407, 6583, 6005, 308, 2232, 4916, 14201, 372, 3100, 4916, 27, 284, 429, 12641, 33, 1564, 31, 2867, 15812, 567, 2123, 14507, 81, 7321, 6583, 4248, 308, 8237, 33, 1564, 438, 18392, 436, 15310, 27, 203, 35, 35, 32, 4998, 37344, 2298, 526, 17180, 48048, 322, 9449, 5257, 30, 646, 6517, 1541, 15103, 32, 3701, 429, 30713, 44, 31054, 308, 98, 44, 6005, 7824, 2867, 7239, 81, 2109, 6583, 26, 102, 44, 8237, 27, 4998, 273, 32, 426, 280, 330, 3711, 8637, 25, 284, 429, 37527, 44, 31054, 308, 98, 44, 6005, 7824, 2867, 7239, 81, 2109, 6583, 26, 102, 44, 8237, 4998, 273, 32, 426, 280, 330, 3711, 8637, 683, 203, 35, 36, 32, 33669, 4516, 44, 25967, 4203, 8480, 636, 11792, 44, 284, 429, 13936, 27840, 308, 935, 65, 30, 390, 10209, 30, 13254, 271, 30, 10702, 30, 39066, 30, 676, 66, 30, 30193, 4840, 27, 1395, 3233, 810, 4203, 2804, 284, 429, 11038, 4467, 1395, 3233, 810, 636, 2804, 284, 429, 313, 1382, 390, 1407, 20, 556, 313, 515, 390, 1407, 20, 6058, 3233, 4998, 4203, 2198, 5794, 14008, 330, 935, 65, 25, 284, 429, 313, 19693, 35142, 20, 556, 313, 47063, 2371, 20, 6058, 3233, 4998, 636, 2198, 5794, 14008, 330, 19693, 35142, 25, 556, 636, 2198, 5794, 14008, 330, 47063, 2371, 25, 203, 35, 37, 32, 4417, 42687, 9215, 623, 2198, 5794, 14008, 436, 6085, 3276, 44, 284, 429, 2616, 4467, 44, 4417, 2198, 5794, 14008, 436, 7360, 8001, 308, 87, 32, 89, 4317, 4998, 636, 2198, 5794, 14008, 330, 47063, 2371, 683, 284, 429, 2616, 18920, 44, 4417, 2198, 5794, 14008, 436, 7360, 8001, 308, 87, 32, 89, 4317, 4998, 273, 32, 426, 2198, 5794, 14008, 330, 7747, 25, 1878, 273, 32, 426, 2198, 5794, 14008, 330, 11355, 683, 284, 429, 2616, 13479, 44, 4417, 2198, 5794, 14008, 436, 40514, 308, 87, 32, 89, 4317, 4998, 4203, 2198, 5794, 14008, 330, 935, 65, 25, 1878, 4203, 2198, 5794, 14008, 330, 828, 21918, 21909, 683, 284, 429, 2616, 20608, 44, 4417, 2198, 5794, 14008, 436, 12770, 308, 87, 32, 89, 4317, 4998, 298, 32, 3153, 2198, 5794, 14008, 330, 35271, 25, 1878, 298, 32, 426, 2198, 5794, 14008, 330, 35271, 683, 203, 35, 38, 32, 9964, 28758, 44, 5582, 28222, 312, 3982, 2080, 22350, 36149, 2467, 544, 27143, 26543, 32, 3139, 538, 5623, 993, 30, 1289, 8446, 30, 1289, 10173, 30, 1289, 5388, 1344, 2670, 556, 2685, 322, 2467, 32, 9077, 322, 22350, 36149, 2467, 8015, 32, 203, 203, 5240, 6645, 13409, 101, 44, 203, 203, 41189, 6498, 8999, 623, 42687, 9215, 44, 203, 31, 15196, 44, 313, 27868, 1182, 544, 322, 10915, 6498, 12791, 203, 31, 6645, 44, 31054, 308, 98, 44, 6005, 7824, 2867, 7239, 81, 2109, 6583, 26, 102, 44, 8237, 27, 4998, 273, 32, 426, 2198, 5794, 14008, 330, 7747, 25, 1878, 273, 32, 426, 2198, 5794, 14008, 330, 11355, 25, 18546, 298, 32, 314, 30, 298, 32, 426, 30, 298, 32, 1935, 30, 298, 32, 18495, 30, 298, 32, 4298, 30, 6492, 26, 98, 27, 619, 6492, 7445, 225, 36, 39, 203, 203, 41189, 39143, 810, 636, 308, 9865, 2530, 711, 203, 31, 15196, 44, 313, 27868, 438, 48804, 2371, 1182, 7884, 12791, 203, 31, 6645, 44, 31054, 308, 98, 44, 6005, 7824, 2867, 25252, 69, 81, 1407, 6583, 26, 95, 44, 6005, 27, 4998, 298, 32, 426, 2198, 5794, 14008, 330, 47063, 2371, 25, 18546, 345, 32, 314, 30, 345, 32, 426, 30, 345, 32, 1935, 30, 345, 32, 18495, 30, 345, 32, 4298, 30, 6492, 26, 95, 27, 619, 6492, 203, 203, 41189, 7231, 34027, 623, 42687, 6215, 9215, 44, 203, 31, 15196, 44, 313, 27868, 1182, 18392, 436, 4953, 20608, 12791, 203, 31, 6645, 44, 31054, 308, 102, 7824, 2867, 15812, 567, 2123, 14507, 81, 7321, 6583, 26, 98, 44, 4248, 27, 4998, 298, 32, 3153, 2198, 5794, 14008, 330, 35271, 25, 1878, 298, 32, 426, 2198, 5794, 14008, 330, 35271, 25, 1878, 298, 32, 2310, 2198, 5794, 14008, 330, 35271, 25, 18546, 273, 32, 314, 30, 273, 32, 426, 30, 6492, 26, 102, 27, 619, 6492, 30, 298, 32, 314, 30, 298, 32, 426, 30, 298, 32, 3153, 30, 298, 32, 24791, 7445, 225, 36, 39, 203, 203, 41189, 7024, 810, 23572, 308, 1732, 7889, 10467, 711, 203, 31, 15196, 44, 313, 4311, 597, 7024, 328, 33627, 20, 203, 31, 6645, 44, 31054, 308, 98, 44, 6005, 27, 4998, 298, 32, 18495, 2198, 5794, 14008, 330, 40528, 25, 1878, 298, 32, 18495, 2198, 5794, 14008, 330, 3711, 8637, 25, 18546, 298, 32, 314, 30, 298, 32, 426, 30, 298, 32, 1935, 30, 298, 32, 4298, 30, 6492, 26, 98, 27, 619, 6492, 7445, 225, 36, 39, 203, 203, 41189, 2350, 8999, 623, 7360, 9215, 44, 203, 31, 15196, 44, 313, 27868, 1182, 328, 322, 23714, 723, 2350, 12791, 203, 31, 6645, 44, 31054, 308, 98, 44, 6005, 7824, 2867, 7239, 81, 2109, 6583, 26, 89, 44, 1564, 27, 4998, 485, 32, 426, 2198, 5794, 14008, 330, 89, 38082, 25, 1878, 485, 32, 426, 2198, 5794, 14008, 330, 57, 38082, 25, 18546, 298, 32, 314, 30, 298, 32, 426, 30, 298, 32, 1935, 30, 298, 32, 18495, 30, 298, 32, 4298, 30, 6492, 26, 98, 27, 619, 6492, 7445, 225, 36, 39, 203, 203, 41189, 7024, 6560, 3639, 372, 312, 4203, 308, 1206, 636, 711, 203, 31, 15196, 44, 313, 4311, 597, 7024, 6560, 3639, 372, 322, 390, 1407, 20, 203, 31, 6645, 44, 31054, 308, 98, 44, 6005, 7824, 2867, 25252, 69, 81, 1407, 6583, 26, 95, 44, 6005, 27, 4998, 345, 32, 4298, 2198, 5794, 14008, 330, 935, 65, 25, 1878, 345, 32, 4298, 2198, 5794, 14008, 330, 828, 21918, 21909, 25, 18546, 298, 32, 314, 30, 298, 32, 426, 30, 298, 32, 1935, 30, 298, 32, 18495, 30, 298, 32, 4298, 30, 6492, 26, 98, 27, 619, 6492, 7445, 225, 36, 39, 203, 203, 41189, 7024, 810, 4203, 623, 4609, 40514, 44, 203, 31, 15196, 44, 313, 27868, 884, 322, 6498, 27608, 12791, 203, 31, 6645, 44, 31054, 308, 98, 44, 6005, 27, 4998, 298, 32, 4298, 2198, 5794, 14008, 330, 27577, 25, 1878, 298, 32, 4298, 2198, 5794, 14008, 330, 18637, 25, 1878, 298, 32, 4298, 2198, 5794, 14008, 330, 1572, 25, 1878, 298, 32, 4298, 2198, 5794, 14008, 330, 4018, 25, 1878, 298, 32, 4298, 2198, 5794, 14008, 330, 7979, 25, 18546, 298, 32, 314, 30, 298, 32, 426, 30, 298, 32, 1935, 30, 298, 32, 18495, 30, 298, 32, 4298, 30, 6492, 26, 98, 27, 619, 6492, 7445, 225, 36, 39, 203, 203, 9927, 44, 313, 6893, 5075, 28990, 20, 203, 1625, 44, 0, 203, 49152, 17594, 49153, 15895, 308, 98, 44, 6005, 27, 18546, 2385, 26, 98, 27], 'total_duration': 987512582, 'load_duration': 9086460, 'prompt_eval_count': 1608, 'prompt_eval_duration': 714567537, 'eval_count': 12, 'eval_duration': 263380699}
api-1  | DEBUG:httpcore.connection:close.started
api-1  | DEBUG:httpcore.connection:close.complete
api-1  | DEBUG:root:Sending request to Ollama: {'model': 'granite3.3:8b-largectx', 'prompt': 'You are a helpful assistant that formats database query results for task-oriented users who need to complete work and find the right people to collaborate with.\n\nUser\'s original request: "how many employees"\n\nDatabase results:\n{\'query\': \'MATCH (p:Person) RETURN count(p)\', \'count\': 1, \'results\': [{\'count(p)\': 500}]}\n\nPlease format these results in a clear, actionable way that helps the user complete their task using **valid Markdown formatting**.\n\nGuidelines:\n- Present the information in a natural, conversational tone focused on enabling action\n- Use Markdown syntax for formatting:\n  - **Bold text** for emphasis and key contacts/policies\n  - `Code blocks` for names, roles, or technical terms when appropriate\n  - ## Headers for sections when organizing information\n  - * Bullet points for lists\n  - | Tables | when showing structured data\n  - > Blockquotes for important insights or next steps\n\nTASK-ORIENTED FORMATTING PRIORITIES:\n\n**For Policy & Compliance Results:**\n- **Highlight critical/high severity policies first**\n- Show policy names, categories, and key requirements\n- **Emphasize who owns each policy** (teams/groups responsible)\n- Include contact information for policy owners when available\n- Suggest next steps for compliance or implementation\n\n**For People/Contact Results:**\n- **Prioritize leads, managers, and decision-makers**\n- Always show: name, role, email, department\n- **Bold the names of team leads and key stakeholders**\n- Group people by their relevance to the task (e.g., "Policy Owners", "Team Leads", "Approvers")\n- Include team/group affiliations to show expertise areas\n\n**For Task Implementation:**\n- Structure results as actionable guidance\n- Use section headers like:\n  - "## Key People to Contact"\n  - "## Relevant Policies to Review" \n  - "## Next Steps"\n- **Bold the most important contacts** to reach out to first\n- Explain why each person/policy is relevant to their task\n\n**Response Structure:**\n1. Start with a direct answer to their question\n2. Show the most critical/high-priority items first\n3. Group related information together\n4. End with suggested next steps or additional considerations\n\n**Key Features:**\n- Highlight key insights, patterns, or relationships in the data\n- If there are many results, summarize the most important ones and provide key statistics\n- **If there are no results, be direct and honest - simply state "No policies were found" or "No matching results" without making up information**\n- For organizational data, emphasize **who can help** and **who has authority**\n- Make the response helpful, actionable, and easy to understand\n- Include counts/totals when relevant (e.g., "Found **3 critical policies** and **5 key contacts**")\n\n**NO RESULTS HANDLING:**\n- If no policies are found, respond with: "No policies were found matching your request."\n- If no people are found, respond with: "No people were found matching your criteria."\n- If no teams/groups are found, respond with: "No teams or groups were found for this area."\n- DO NOT suggest alternative searches or provide generic advice unless there are actual results\n- DO NOT invent or hallucinate information when no results exist\n- Keep no-results responses brief and factual\n\nIMPORTANT: Use proper Markdown formatting throughout your response. Focus on enabling the user to take action and complete their task efficiently. When there are no results, be honest and direct rather than filling space with potentially incorrect information.', 'stream': False}
api-1  | DEBUG:httpcore.connection:connect_tcp.started host='ollama' port=11434 local_address=None timeout=60 socket_options=None
api-1  | DEBUG:httpcore.connection:connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x7fb895082b50>
api-1  | DEBUG:httpcore.http11:send_request_headers.started request=<Request [b'POST']>
api-1  | DEBUG:httpcore.http11:send_request_headers.complete
api-1  | DEBUG:httpcore.http11:send_request_body.started request=<Request [b'POST']>
api-1  | DEBUG:httpcore.http11:send_request_body.complete
api-1  | DEBUG:httpcore.http11:receive_response_headers.started request=<Request [b'POST']>
api-1  | DEBUG:httpcore.http11:receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Thu, 19 Jun 2025 05:02:46 GMT'), (b'Transfer-Encoding', b'chunked')])
api-1  | INFO:httpx:HTTP Request: POST http://ollama:11434/api/generate "HTTP/1.1 200 OK"
api-1  | DEBUG:httpcore.http11:receive_response_body.started request=<Request [b'POST']>
api-1  | DEBUG:httpcore.http11:receive_response_body.complete
api-1  | DEBUG:httpcore.http11:response_closed.started
api-1  | DEBUG:httpcore.http11:response_closed.complete
api-1  | DEBUG:root:Received response from Ollama: {'model': 'granite3.3:8b-largectx', 'created_at': '2025-06-19T05:02:46.604189196Z', 'response': "## Employees Count\n\nYou have **500** employees in total based on the database query results. This count can serve as a key figure for various tasks such as resource allocation or team formations. \n\nNo specific leads, managers, or decision-makers are highlighted here as there's no additional information regarding organizational roles or hierarchy within your request. \n\n### Next Steps:\n\n1. **Identify Teams**: To find relevant contacts or team leaders, you may need to refine your query focusing on departments or specific teams. \n2. **Department-wise Breakdown**: If needed, you can further analyze the distribution of employees across different departments by adjusting the database query accordingly. \n\nFor immediate assistance in identifying key personnel related to particular tasks or projects, please provide additional context or criteria so we can tailor our response more effectively to your needs.", 'done': True, 'done_reason': 'stop', 'context': [49152, 2946, 49153, 39558, 390, 17071, 2821, 44, 30468, 225, 36, 34, 36, 38, 32, 203, 4282, 884, 8080, 278, 659, 30, 18909, 810, 25697, 32, 2448, 884, 312, 17247, 19551, 47330, 32, 0, 203, 49152, 496, 49153, 4282, 884, 312, 17247, 47330, 688, 15477, 3500, 2467, 3276, 436, 2899, 31, 42368, 4250, 6560, 1849, 372, 6153, 1389, 461, 2290, 322, 2091, 7024, 372, 21368, 332, 623, 32, 203, 203, 1240, 1182, 4707, 1326, 44, 313, 6893, 5075, 28990, 20, 203, 203, 3954, 3276, 44, 203, 12157, 1217, 950, 330, 15895, 308, 98, 44, 6005, 27, 18546, 2385, 26, 98, 7243, 330, 998, 950, 225, 35, 30, 330, 4295, 950, 39228, 998, 26, 98, 27, 950, 225, 39, 34, 34, 49108, 203, 203, 6574, 2179, 3282, 3276, 328, 312, 4233, 30, 2125, 444, 3352, 688, 15761, 322, 1256, 6153, 3623, 2899, 1471, 1115, 1327, 21047, 17948, 6192, 203, 203, 15757, 4446, 44, 203, 31, 26823, 322, 2471, 328, 312, 19844, 30, 457, 5232, 5144, 46023, 20975, 544, 29300, 2125, 203, 31, 4417, 21047, 8345, 436, 17948, 44, 334, 429, 1115, 16835, 1344, 326, 436, 12480, 22557, 461, 1202, 26910, 33, 16669, 334, 429, 529, 1227, 9058, 82, 436, 4467, 30, 13479, 30, 556, 22131, 5955, 1412, 9136, 334, 429, 5286, 19344, 436, 15521, 1412, 10558, 6183, 2471, 334, 429, 319, 44928, 4981, 436, 10375, 334, 429, 523, 43960, 523, 1412, 14838, 28546, 706, 334, 429, 848, 6575, 25072, 436, 8913, 43912, 556, 2354, 6655, 203, 203, 15147, 31, 758, 21736, 1345, 22900, 12734, 1392, 2773, 38416, 33026, 44, 203, 203, 326, 1562, 15310, 549, 2252, 4339, 19677, 4777, 203, 31, 1115, 13360, 18896, 33, 4363, 25017, 20608, 1932, 326, 203, 31, 7914, 7231, 4467, 30, 12770, 30, 461, 1202, 10130, 203, 31, 1115, 16794, 2040, 518, 6560, 42665, 2504, 7231, 326, 308, 16916, 33, 6332, 18392, 27, 203, 31, 12432, 7260, 2471, 436, 7231, 34027, 1412, 3304, 203, 31, 28192, 2354, 6655, 436, 4953, 556, 4736, 203, 203, 326, 1562, 33126, 33, 5870, 19677, 4777, 203, 31, 1115, 27086, 283, 518, 27608, 30, 39143, 30, 461, 17200, 31, 12620, 483, 326, 203, 31, 25144, 2519, 44, 636, 30, 4203, 30, 4096, 30, 23572, 203, 31, 1115, 16835, 322, 4467, 432, 6498, 27608, 461, 1202, 38594, 19489, 326, 203, 31, 7051, 7024, 810, 3623, 316, 40289, 372, 322, 2899, 308, 87, 32, 89, 4317, 313, 4248, 29912, 483, 392, 313, 8237, 39066, 101, 392, 313, 10083, 5232, 657, 203, 31, 12432, 6498, 33, 1363, 19964, 993, 372, 2519, 30895, 1125, 19492, 203, 203, 326, 1562, 4187, 19965, 4777, 203, 31, 19247, 3276, 619, 2125, 444, 34467, 203, 31, 4417, 4169, 4826, 2124, 44, 334, 429, 313, 433, 3891, 33126, 372, 12141, 20, 334, 429, 313, 433, 902, 8577, 447, 9327, 372, 15054, 20, 5235, 429, 313, 433, 10961, 17096, 20, 203, 31, 1115, 16835, 322, 4630, 8913, 26910, 326, 372, 15669, 963, 372, 1932, 203, 31, 1283, 7355, 6916, 2504, 4916, 33, 6038, 438, 10088, 372, 3623, 2899, 203, 203, 326, 1397, 19247, 4777, 203, 35, 32, 4793, 623, 312, 3872, 7592, 372, 3623, 7000, 203, 36, 32, 7914, 322, 4630, 18896, 33, 4363, 31, 9786, 3946, 1932, 203, 37, 32, 7051, 5886, 2471, 10752, 203, 38, 32, 4720, 623, 20051, 2354, 6655, 556, 5388, 6295, 993, 203, 203, 326, 953, 16999, 4777, 203, 31, 44025, 1202, 43912, 30, 15103, 30, 556, 25041, 328, 322, 706, 203, 31, 1670, 2017, 884, 5075, 3276, 30, 46053, 322, 4630, 8913, 11668, 461, 2355, 1202, 14564, 203, 31, 1115, 2797, 2017, 884, 1289, 3276, 30, 526, 3872, 461, 41211, 429, 9639, 1603, 313, 2023, 20608, 4528, 2431, 20, 556, 313, 2023, 9215, 3276, 20, 2876, 9018, 973, 2471, 326, 203, 31, 2616, 12083, 279, 706, 30, 12480, 2040, 518, 1115, 19483, 883, 3049, 326, 461, 1115, 19483, 1401, 27756, 326, 203, 31, 6400, 322, 1789, 17247, 30, 2125, 444, 30, 461, 8792, 372, 7648, 203, 31, 12432, 15172, 33, 41284, 1412, 10088, 308, 87, 32, 89, 4317, 313, 3595, 1115, 37, 18896, 20608, 326, 461, 1115, 39, 1202, 26910, 326, 657, 203, 203, 326, 2576, 20336, 69, 25999, 31332, 4777, 203, 31, 1670, 1289, 20608, 884, 2431, 30, 16533, 623, 44, 313, 2023, 20608, 4528, 2431, 9215, 1370, 1326, 3107, 203, 31, 1670, 1289, 7024, 884, 2431, 30, 16533, 623, 44, 313, 2023, 7024, 4528, 2431, 9215, 1370, 15261, 3107, 203, 31, 1670, 1289, 18920, 33, 6332, 884, 2431, 30, 16533, 623, 44, 313, 2023, 18920, 556, 8351, 4528, 2431, 436, 458, 5951, 3107, 203, 31, 4085, 2370, 6919, 15529, 33243, 556, 2355, 10140, 29327, 7351, 2017, 884, 4648, 3276, 203, 31, 4085, 2370, 37350, 556, 48965, 1008, 3043, 2471, 1412, 1289, 3276, 2307, 203, 31, 19114, 1289, 31, 4295, 14812, 25585, 461, 296, 7975, 203, 203, 33862, 44, 4417, 7240, 21047, 17948, 28025, 1370, 1789, 32, 33062, 544, 29300, 322, 1256, 372, 4818, 2125, 461, 6153, 3623, 2899, 42990, 32, 5076, 2017, 884, 1289, 3276, 30, 526, 41211, 461, 3872, 9283, 2784, 39277, 5122, 623, 22035, 12479, 2471, 32, 0, 203, 49152, 17594, 49153, 433, 46216, 12910, 9618, 203, 203, 4282, 1159, 1115, 39, 34, 34, 326, 28990, 328, 3380, 4122, 544, 322, 3500, 2467, 3276, 32, 1348, 2385, 883, 13942, 619, 312, 1202, 10986, 436, 10297, 8253, 3751, 619, 2869, 18120, 556, 6498, 2234, 993, 32, 1659, 203, 2023, 2818, 27608, 30, 39143, 30, 556, 17200, 31, 12620, 483, 884, 33306, 2442, 619, 2017, 1182, 1289, 5388, 2471, 12047, 12083, 279, 13479, 556, 21291, 4797, 1370, 1326, 32, 1659, 203, 1482, 10961, 17096, 44, 478, 35, 32, 1115, 9594, 1147, 29983, 4914, 2614, 2290, 10088, 26910, 556, 6498, 999, 2980, 30, 844, 1631, 1849, 372, 2488, 482, 1370, 2467, 35167, 908, 544, 26811, 1728, 556, 2818, 18920, 32, 1659, 36, 32, 1115, 19051, 31, 3767, 19868, 1746, 4914, 1670, 5349, 30, 844, 883, 9686, 22928, 322, 7433, 432, 28990, 10160, 3449, 26811, 1728, 810, 10891, 299, 322, 3500, 2467, 23601, 32, 1659, 203, 1562, 11068, 47221, 328, 31583, 1202, 4916, 8613, 5886, 372, 8409, 8253, 556, 8528, 30, 4322, 2355, 5388, 1619, 556, 15261, 1259, 996, 883, 13203, 271, 2992, 1789, 1829, 29419, 372, 1370, 5652, 32], 'total_duration': 4363916771, 'load_duration': 8174484, 'prompt_eval_count': 841, 'prompt_eval_duration': 268598307, 'eval_count': 187, 'eval_duration': 4086661325}
api-1  | DEBUG:httpcore.connection:close.started
api-1  | DEBUG:httpcore.connection:close.complete
